English Name,Bird Song
African Green Pigeon,https://xeno-canto.org/227419/download
African Green Pigeon,https://xeno-canto.org/227405/download
White-spotted Flufftail,https://xeno-canto.org/782879/download
White-spotted Flufftail,https://xeno-canto.org/739986/download
White-spotted Flufftail,https://xeno-canto.org/739985/download
White-spotted Flufftail,https://xeno-canto.org/709812/download
White-spotted Flufftail,https://xeno-canto.org/254847/download
White-spotted Flufftail,https://xeno-canto.org/254846/download
White-spotted Flufftail,https://xeno-canto.org/709806/download
White-spotted Flufftail,https://xeno-canto.org/709784/download
White-spotted Flufftail,https://xeno-canto.org/709773/download
White-spotted Flufftail,https://xeno-canto.org/611528/download
White-spotted Flufftail,https://xeno-canto.org/265687/download
White-spotted Flufftail,https://xeno-canto.org/166385/download
White-spotted Flufftail,https://xeno-canto.org/166384/download
White-spotted Flufftail,https://xeno-canto.org/166383/download
White-spotted Flufftail,https://xeno-canto.org/157104/download
White-spotted Flufftail,https://xeno-canto.org/137897/download
White-spotted Flufftail,https://xeno-canto.org/137896/download
White-spotted Flufftail,https://xeno-canto.org/148559/download
White-spotted Flufftail,https://xeno-canto.org/76943/download
White-spotted Flufftail,https://xeno-canto.org/59074/download
White-spotted Flufftail,https://xeno-canto.org/137780/download
Buff-spotted Flufftail,https://xeno-canto.org/739984/download
Red-chested Flufftail,https://xeno-canto.org/739990/download
Red-chested Flufftail,https://xeno-canto.org/739989/download
Red-chested Flufftail,https://xeno-canto.org/739988/download
Red-chested Flufftail,https://xeno-canto.org/739991/download
Black Crake,https://xeno-canto.org/610981/download
Black Crake,https://xeno-canto.org/252340/download
Black Crake,https://xeno-canto.org/64982/download
Nkulengu Rail,https://xeno-canto.org/18432/download
Grey Crowned Crane,https://xeno-canto.org/739423/download
Grey Crowned Crane,https://xeno-canto.org/739422/download
Grey Crowned Crane,https://xeno-canto.org/282056/download
Grey Crowned Crane,https://xeno-canto.org/739424/download
Grey Crowned Crane,https://xeno-canto.org/739421/download
Grey Crowned Crane,https://xeno-canto.org/739420/download
Grey Crowned Crane,https://xeno-canto.org/537120/download
Common Buttonquail,https://xeno-canto.org/740052/download
Water Thick-knee,https://xeno-canto.org/739451/download
Water Thick-knee,https://xeno-canto.org/282001/download
Long-toed Lapwing,https://xeno-canto.org/740061/download
Long-toed Lapwing,https://xeno-canto.org/740060/download
Spur-winged Lapwing,https://xeno-canto.org/288724/download
Senegal Lapwing,https://xeno-canto.org/740062/download
Senegal Lapwing,https://xeno-canto.org/740063/download
Senegal Lapwing,https://xeno-canto.org/667437/download
African Wattled Lapwing,https://xeno-canto.org/252360/download
African Wattled Lapwing,https://xeno-canto.org/251866/download
African Wattled Lapwing,https://xeno-canto.org/83809/download
African Wattled Lapwing,https://xeno-canto.org/281990/download
Brown-chested Lapwing,https://xeno-canto.org/282072/download
Brown-chested Lapwing,https://xeno-canto.org/282071/download
Brown-chested Lapwing,https://xeno-canto.org/667434/download
Three-banded Plover,https://xeno-canto.org/739519/download
African Jacana,https://xeno-canto.org/217557/download
African Jacana,https://xeno-canto.org/217556/download
Common Sandpiper,https://xeno-canto.org/285485/download
Wood Sandpiper,https://xeno-canto.org/282045/download
Collared Pratincole,https://xeno-canto.org/608512/download
African Skimmer,https://xeno-canto.org/608119/download
African Skimmer,https://xeno-canto.org/430459/download
African Skimmer,https://xeno-canto.org/430458/download
African Skimmer,https://xeno-canto.org/430457/download
African Skimmer,https://xeno-canto.org/430456/download
Lesser Black-backed Gull,https://xeno-canto.org/342699/download
White-winged Tern,https://xeno-canto.org/281980/download
Marabou Stork,https://xeno-canto.org/137756/download
Hadada Ibis,https://xeno-canto.org/289271/download
Hadada Ibis,https://xeno-canto.org/282047/download
Hadada Ibis,https://xeno-canto.org/195773/download
Little Bittern,https://xeno-canto.org/739742/download
Striated Heron,https://xeno-canto.org/739452/download
Rufous-bellied Heron,https://xeno-canto.org/739413/download
